DateKey,Date,Year,Month,Quarter,DayName
20240326,2024-03-26,2024,3,1,Tuesday
20240510,2024-05-10,2024,5,2,Friday
20240504,2024-05-04,2024,5,2,Saturday
20240517,2024-05-17,2024,5,2,Friday
20240203,2024-02-03,2024,2,1,Saturday
20240117,2024-01-17,2024,1,1,Wednesday
20240303,2024-03-03,2024,3,1,Sunday
20240801,2024-08-01,2024,8,3,Thursday
20240726,2024-07-26,2024,7,3,Friday
20240919,2024-09-19,2024,9,3,Thursday
20240328,2024-03-28,2024,3,1,Thursday
20240804,2024-08-04,2024,8,3,Sunday
20240831,2024-08-31,2024,8,3,Saturday
20240214,2024-02-14,2024,2,1,Wednesday
20240710,2024-07-10,2024,7,3,Wednesday
20240316,2024-03-16,2024,3,1,Saturday
20241005,2024-10-05,2024,10,4,Saturday
20240305,2024-03-05,2024,3,1,Tuesday
20240302,2024-03-02,2024,3,1,Saturday
20240210,2024-02-10,2024,2,1,Saturday
20240721,2024-07-21,2024,7,3,Sunday
20240208,2024-02-08,2024,2,1,Thursday
20240508,2024-05-08,2024,5,2,Wednesday
20240606,2024-06-06,2024,6,2,Thursday
20240318,2024-03-18,2024,3,1,Monday
20240803,2024-08-03,2024,8,3,Saturday
20240616,2024-06-16,2024,6,2,Sunday
20240118,2024-01-18,2024,1,1,Thursday
20240608,2024-06-08,2024,6,2,Saturday
20240121,2024-01-21,2024,1,1,Sunday
20240927,2024-09-27,2024,9,3,Friday
20240127,2024-01-27,2024,1,1,Saturday
20241018,2024-10-18,2024,10,4,Friday
20240627,2024-06-27,2024,6,2,Thursday
20241031,2024-10-31,2024,10,4,Thursday
20241021,2024-10-21,2024,10,4,Monday
20240426,2024-04-26,2024,4,2,Friday
20240525,2024-05-25,2024,5,2,Saturday
20240914,2024-09-14,2024,9,3,Saturday
20240625,2024-06-25,2024,6,2,Tuesday
20240103,2024-01-03,2024,1,1,Wednesday
20240617,2024-06-17,2024,6,2,Monday
20240402,2024-04-02,2024,4,2,Tuesday
20240916,2024-09-16,2024,9,3,Monday
20240304,2024-03-04,2024,3,1,Monday
20241017,2024-10-17,2024,10,4,Thursday
20240522,2024-05-22,2024,5,2,Wednesday
20240722,2024-07-22,2024,7,3,Monday
20240922,2024-09-22,2024,9,3,Sunday
20241003,2024-10-03,2024,10,4,Thursday
20240403,2024-04-03,2024,4,2,Wednesday
20240612,2024-06-12,2024,6,2,Wednesday
20240411,2024-04-11,2024,4,2,Thursday
20241106,2024-11-06,2024,11,4,Wednesday
20240201,2024-02-01,2024,2,1,Thursday
20240509,2024-05-09,2024,5,2,Thursday
20240407,2024-04-07,2024,4,2,Sunday
20240408,2024-04-08,2024,4,2,Monday
20240329,2024-03-29,2024,3,1,Friday
20241103,2024-11-03,2024,11,4,Sunday
20241014,2024-10-14,2024,10,4,Monday
20240511,2024-05-11,2024,5,2,Saturday
20240306,2024-03-06,2024,3,1,Wednesday
20241024,2024-10-24,2024,10,4,Thursday
20240207,2024-02-07,2024,2,1,Wednesday
20240323,2024-03-23,2024,3,1,Saturday
20240227,2024-02-27,2024,2,1,Tuesday
20240930,2024-09-30,2024,9,3,Monday
20240116,2024-01-16,2024,1,1,Tuesday
20240514,2024-05-14,2024,5,2,Tuesday
20240605,2024-06-05,2024,6,2,Wednesday
20240528,2024-05-28,2024,5,2,Tuesday
20241009,2024-10-09,2024,10,4,Wednesday
20240212,2024-02-12,2024,2,1,Monday
20240107,2024-01-07,2024,1,1,Sunday
20240815,2024-08-15,2024,8,3,Thursday
20240811,2024-08-11,2024,8,3,Sunday
20240903,2024-09-03,2024,9,3,Tuesday
20240724,2024-07-24,2024,7,3,Wednesday
20240526,2024-05-26,2024,5,2,Sunday
20240317,2024-03-17,2024,3,1,Sunday
20240104,2024-01-04,2024,1,1,Thursday
20240113,2024-01-13,2024,1,1,Saturday
20240818,2024-08-18,2024,8,3,Sunday
20240415,2024-04-15,2024,4,2,Monday
20240622,2024-06-22,2024,6,2,Saturday
20240430,2024-04-30,2024,4,2,Tuesday
20240920,2024-09-20,2024,9,3,Friday
20240429,2024-04-29,2024,4,2,Monday
20240827,2024-08-27,2024,8,3,Tuesday
20240923,2024-09-23,2024,9,3,Monday
20240308,2024-03-08,2024,3,1,Friday
20240822,2024-08-22,2024,8,3,Thursday
20240502,2024-05-02,2024,5,2,Thursday
20240808,2024-08-08,2024,8,3,Thursday
20240706,2024-07-06,2024,7,3,Saturday
20241101,2024-11-01,2024,11,4,Friday
20240825,2024-08-25,2024,8,3,Sunday
20240915,2024-09-15,2024,9,3,Sunday
20240414,2024-04-14,2024,4,2,Sunday
20240929,2024-09-29,2024,9,3,Sunday
20240908,2024-09-08,2024,9,3,Sunday
20240410,2024-04-10,2024,4,2,Wednesday
20240714,2024-07-14,2024,7,3,Sunday
20240826,2024-08-26,2024,8,3,Monday
20240601,2024-06-01,2024,6,2,Saturday
20240918,2024-09-18,2024,9,3,Wednesday
20240531,2024-05-31,2024,5,2,Friday
20240122,2024-01-22,2024,1,1,Monday
20240704,2024-07-04,2024,7,3,Thursday
20240221,2024-02-21,2024,2,1,Wednesday
20240112,2024-01-12,2024,1,1,Friday
20240727,2024-07-27,2024,7,3,Saturday
20240628,2024-06-28,2024,6,2,Friday
20240527,2024-05-27,2024,5,2,Monday
20240215,2024-02-15,2024,2,1,Thursday
20240603,2024-06-03,2024,6,2,Monday
20240805,2024-08-05,2024,8,3,Monday
20240109,2024-01-09,2024,1,1,Tuesday
20240119,2024-01-19,2024,1,1,Friday
20240217,2024-02-17,2024,2,1,Saturday
20241016,2024-10-16,2024,10,4,Wednesday
20240819,2024-08-19,2024,8,3,Monday
20240613,2024-06-13,2024,6,2,Thursday
20240327,2024-03-27,2024,3,1,Wednesday
20240715,2024-07-15,2024,7,3,Monday
20240412,2024-04-12,2024,4,2,Friday
20240530,2024-05-30,2024,5,2,Thursday
20240124,2024-01-24,2024,1,1,Wednesday
20240824,2024-08-24,2024,8,3,Saturday
20240907,2024-09-07,2024,9,3,Saturday
20240821,2024-08-21,2024,8,3,Wednesday
20240717,2024-07-17,2024,7,3,Wednesday
20240620,2024-06-20,2024,6,2,Thursday
20240307,2024-03-07,2024,3,1,Thursday
20240521,2024-05-21,2024,5,2,Tuesday
20240904,2024-09-04,2024,9,3,Wednesday
20240131,2024-01-31,2024,1,1,Wednesday
20240220,2024-02-20,2024,2,1,Tuesday
20240806,2024-08-06,2024,8,3,Tuesday
20240828,2024-08-28,2024,8,3,Wednesday
20240626,2024-06-26,2024,6,2,Wednesday
20240301,2024-03-01,2024,3,1,Friday
20240418,2024-04-18,2024,4,2,Thursday
20240708,2024-07-08,2024,7,3,Monday
20240213,2024-02-13,2024,2,1,Tuesday
20240718,2024-07-18,2024,7,3,Thursday
20240420,2024-04-20,2024,4,2,Saturday
20240623,2024-06-23,2024,6,2,Sunday
20240222,2024-02-22,2024,2,1,Thursday
20240226,2024-02-26,2024,2,1,Monday
20240130,2024-01-30,2024,1,1,Tuesday
20240501,2024-05-01,2024,5,2,Wednesday
20241020,2024-10-20,2024,10,4,Sunday
20240102,2024-01-02,2024,1,1,Tuesday
20240421,2024-04-21,2024,4,2,Sunday
20240630,2024-06-30,2024,6,2,Sunday
20240331,2024-03-31,2024,3,1,Sunday
20240729,2024-07-29,2024,7,3,Monday
20241025,2024-10-25,2024,10,4,Friday
20240129,2024-01-29,2024,1,1,Monday
20240611,2024-06-11,2024,6,2,Tuesday
20240406,2024-04-06,2024,4,2,Saturday
20241104,2024-11-04,2024,11,4,Monday
20240505,2024-05-05,2024,5,2,Sunday
20241022,2024-10-22,2024,10,4,Tuesday
20241002,2024-10-02,2024,10,4,Wednesday
20240719,2024-07-19,2024,7,3,Friday
20240813,2024-08-13,2024,8,3,Tuesday
20240921,2024-09-21,2024,9,3,Saturday
20240218,2024-02-18,2024,2,1,Sunday
20240614,2024-06-14,2024,6,2,Friday
20240115,2024-01-15,2024,1,1,Monday
20240503,2024-05-03,2024,5,2,Friday
20240405,2024-04-05,2024,4,2,Friday
20240108,2024-01-08,2024,1,1,Monday
20240602,2024-06-02,2024,6,2,Sunday
20240925,2024-09-25,2024,9,3,Wednesday
20240905,2024-09-05,2024,9,3,Thursday
20241011,2024-10-11,2024,10,4,Friday
20240610,2024-06-10,2024,6,2,Monday
20240901,2024-09-01,2024,9,3,Sunday
20240523,2024-05-23,2024,5,2,Thursday
20240106,2024-01-06,2024,1,1,Saturday
20240311,2024-03-11,2024,3,1,Monday
20240707,2024-07-07,2024,7,3,Sunday
20241029,2024-10-29,2024,10,4,Tuesday
20240911,2024-09-11,2024,9,3,Wednesday
20240917,2024-09-17,2024,9,3,Tuesday
20240427,2024-04-27,2024,4,2,Saturday
20240324,2024-03-24,2024,3,1,Sunday
20240712,2024-07-12,2024,7,3,Friday
20240816,2024-08-16,2024,8,3,Friday
20240225,2024-02-25,2024,2,1,Sunday
20240928,2024-09-28,2024,9,3,Saturday
20240512,2024-05-12,2024,5,2,Sunday
20240720,2024-07-20,2024,7,3,Saturday
20240401,2024-04-01,2024,4,2,Monday
20240619,2024-06-19,2024,6,2,Wednesday
20240618,2024-06-18,2024,6,2,Tuesday
20240520,2024-05-20,2024,5,2,Monday
20241012,2024-10-12,2024,10,4,Saturday
20240219,2024-02-19,2024,2,1,Monday
20240703,2024-07-03,2024,7,3,Wednesday
20240621,2024-06-21,2024,6,2,Friday
20240624,2024-06-24,2024,6,2,Monday
20240730,2024-07-30,2024,7,3,Tuesday
20240101,2024-01-01,2024,1,1,Monday
20240529,2024-05-29,2024,5,2,Wednesday
20240416,2024-04-16,2024,4,2,Tuesday
20241030,2024-10-30,2024,10,4,Wednesday
20240110,2024-01-10,2024,1,1,Wednesday
20240419,2024-04-19,2024,4,2,Friday
20240823,2024-08-23,2024,8,3,Friday
20241019,2024-10-19,2024,10,4,Saturday
20240229,2024-02-29,2024,2,1,Thursday
20240518,2024-05-18,2024,5,2,Saturday
20240428,2024-04-28,2024,4,2,Sunday
20240417,2024-04-17,2024,4,2,Wednesday
20240310,2024-03-10,2024,3,1,Sunday
20240202,2024-02-02,2024,2,1,Friday
20240123,2024-01-23,2024,1,1,Tuesday
20240423,2024-04-23,2024,4,2,Tuesday
20241008,2024-10-08,2024,10,4,Tuesday
20240830,2024-08-30,2024,8,3,Friday
20241028,2024-10-28,2024,10,4,Monday
20240413,2024-04-13,2024,4,2,Saturday
20240926,2024-09-26,2024,9,3,Thursday
20240807,2024-08-07,2024,8,3,Wednesday
20240609,2024-06-09,2024,6,2,Sunday
20240810,2024-08-10,2024,8,3,Saturday
20240425,2024-04-25,2024,4,2,Thursday
20241023,2024-10-23,2024,10,4,Wednesday
20240111,2024-01-11,2024,1,1,Thursday
20240909,2024-09-09,2024,9,3,Monday
20240817,2024-08-17,2024,8,3,Saturday
20240702,2024-07-02,2024,7,3,Tuesday
20240204,2024-02-04,2024,2,1,Sunday
20240206,2024-02-06,2024,2,1,Tuesday
20240812,2024-08-12,2024,8,3,Monday
20240516,2024-05-16,2024,5,2,Thursday
20241007,2024-10-07,2024,10,4,Monday
20240120,2024-01-20,2024,1,1,Saturday
20240629,2024-06-29,2024,6,2,Saturday
20240829,2024-08-29,2024,8,3,Thursday
20240228,2024-02-28,2024,2,1,Wednesday
20240711,2024-07-11,2024,7,3,Thursday
20240725,2024-07-25,2024,7,3,Thursday
20240322,2024-03-22,2024,3,1,Friday
20241026,2024-10-26,2024,10,4,Saturday
20240205,2024-02-05,2024,2,1,Monday
20240515,2024-05-15,2024,5,2,Wednesday
20240802,2024-08-02,2024,8,3,Friday
20240912,2024-09-12,2024,9,3,Thursday
20240902,2024-09-02,2024,9,3,Monday
20240209,2024-02-09,2024,2,1,Friday
20240424,2024-04-24,2024,4,2,Wednesday
20240224,2024-02-24,2024,2,1,Saturday
20241006,2024-10-06,2024,10,4,Sunday
20240409,2024-04-09,2024,4,2,Tuesday
20240713,2024-07-13,2024,7,3,Saturday
20241004,2024-10-04,2024,10,4,Friday
20240506,2024-05-06,2024,5,2,Monday
20241105,2024-11-05,2024,11,4,Tuesday
20240125,2024-01-25,2024,1,1,Thursday
20240731,2024-07-31,2024,7,3,Wednesday
20240814,2024-08-14,2024,8,3,Wednesday
20240604,2024-06-04,2024,6,2,Tuesday
20240313,2024-03-13,2024,3,1,Wednesday
20240312,2024-03-12,2024,3,1,Tuesday
20241015,2024-10-15,2024,10,4,Tuesday
20240913,2024-09-13,2024,9,3,Friday
20240114,2024-01-14,2024,1,1,Sunday
20240320,2024-03-20,2024,3,1,Wednesday
20240211,2024-02-11,2024,2,1,Sunday
20241010,2024-10-10,2024,10,4,Thursday
20240705,2024-07-05,2024,7,3,Friday
20240723,2024-07-23,2024,7,3,Tuesday
20240519,2024-05-19,2024,5,2,Sunday
20240105,2024-01-05,2024,1,1,Friday
20240910,2024-09-10,2024,9,3,Tuesday
20240709,2024-07-09,2024,7,3,Tuesday
20240607,2024-06-07,2024,6,2,Friday
20240924,2024-09-24,2024,9,3,Tuesday
20240820,2024-08-20,2024,8,3,Tuesday
20240422,2024-04-22,2024,4,2,Monday
20241001,2024-10-01,2024,10,4,Tuesday
20240524,2024-05-24,2024,5,2,Friday
20241102,2024-11-02,2024,11,4,Saturday
20240315,2024-03-15,2024,3,1,Friday
20240404,2024-04-04,2024,4,2,Thursday
20240325,2024-03-25,2024,3,1,Monday
20240809,2024-08-09,2024,8,3,Friday
20240507,2024-05-07,2024,5,2,Tuesday
20240319,2024-03-19,2024,3,1,Tuesday
20240126,2024-01-26,2024,1,1,Friday
20240309,2024-03-09,2024,3,1,Saturday
20240701,2024-07-01,2024,7,3,Monday
20240128,2024-01-28,2024,1,1,Sunday
20240216,2024-02-16,2024,2,1,Friday
20240513,2024-05-13,2024,5,2,Monday
20240728,2024-07-28,2024,7,3,Sunday
20241013,2024-10-13,2024,10,4,Sunday
20240314,2024-03-14,2024,3,1,Thursday
20240906,2024-09-06,2024,9,3,Friday
20240716,2024-07-16,2024,7,3,Tuesday
20240223,2024-02-23,2024,2,1,Friday
20241027,2024-10-27,2024,10,4,Sunday
20240321,2024-03-21,2024,3,1,Thursday
20240330,2024-03-30,2024,3,1,Saturday
20240615,2024-06-15,2024,6,2,Saturday
